user_id,age,gender,location,city_tier,occupation,device_type,income_level,marital_status,has_kids,language,total_clicks_30d,total_likes_30d,total_shares_30d,avg_dwell_time,bounce_rate,cart_add_30d,search_count_30d,weekend_ratio,night_owl_score,morning_bird_score,app_open_daily,notif_click_rate,last_active_days,avg_session_depth,churn_prob,avg_ticket_size,max_item_spend,total_ltv,discount_affinity,premium_affinity,return_rate,cod_user,wallet_user,loyalty_points,membership_level,aff_electronics,aff_fashion,aff_fitness,aff_home,aff_beauty,aff_groceries,aff_books,aff_gaming,aff_lifestyle,aff_travel,profile_bio,top_searched_brand,buying_intent_score,last_search_query
USR_2000,25,Male,Bangalore,Tier 1,Entrepreneur,Windows,Low,Married,0,Regional,486,61,17,210.16,0.74,5,10,0.79,0.41,0.05,1,0.28,4,18,0.06,4587,31839,217564,0.62,0.87,0.14,1,1,425,Gold,0.05,0.36,0.89,0.46,0.61,0.23,0.74,0.2,0.29,0.54,"Entrepreneur from Bangalore, loves Tech. Frequent Windows user.",Apple,0.13,Best Gaming products
USR_2001,26,Female,Pune,Tier 3,Entrepreneur,iOS,Ultra-High,Single,0,English,413,17,7,191.78,0.28,21,20,0.89,0.21,0.04,9,0.08,20,18,0.04,22435,40563,90843,0.19,0.03,0.08,0,0,2639,Silver,0.32,0.35,0.63,0.1,0.99,0.45,0.41,0.35,0.69,0.28,"Entrepreneur from Pune, loves Gaming. Frequent iOS user.",Zara,0.55,Best Tech products
USR_2002,41,Male,Kolkata,Tier 1,Doctor,MacOS,Medium,Married,0,Regional,490,65,15,150.03,0.79,15,66,0.76,0.9,0.84,12,0.38,7,11,0.77,21056,25420,216193,0.7,0.08,0.0,0,0,1584,Silver,0.43,0.58,0.71,0.55,0.26,0.05,0.64,0.45,0.85,0.77,"Doctor from Kolkata, loves Tech. Frequent MacOS user.",Nike,0.7,Best Gaming products
USR_2003,44,Female,Delhi,Tier 1,Teacher,iOS,Ultra-High,Single,0,English,116,87,1,96.31,0.14,20,40,0.14,0.1,0.24,15,0.08,15,5,0.98,9773,40240,458178,0.23,0.43,0.2,1,0,1445,Silver,0.28,0.34,0.06,0.43,0.53,0.86,0.06,0.14,0.23,0.88,"Teacher from Delhi, loves Home Decor. Frequent iOS user.",Nike,0.63,Best Home Decor products
USR_2004,33,Non-Binary,Delhi,Tier 2,Student,Android,Low,Single,1,Hindi,447,11,15,288.42,0.58,28,23,0.57,0.07,0.05,7,0.34,26,19,0.02,5161,22447,479689,0.51,0.79,0.18,1,1,3458,Platinum,0.81,0.74,0.23,0.22,0.3,0.45,0.42,0.16,0.06,0.46,"Student from Delhi, loves Beauty. Frequent Android user.",Apple,0.38,Best Beauty products
USR_2005,40,Female,Chennai,Tier 2,Student,iOS,Low,Married,1,English,35,66,18,248.74,0.74,0,40,0.34,0.6,0.18,8,0.3,26,14,0.26,5916,26436,261203,0.17,0.49,0.13,0,0,4211,Free,0.7,0.16,0.66,0.8,0.68,0.87,0.31,0.73,0.15,0.66,"Student from Chennai, loves Gaming. Frequent iOS user.",Nike,0.32,Best Fashion products
USR_2006,35,Non-Binary,Bangalore,Tier 1,Doctor,Windows,High,Single,1,Regional,259,48,10,32.34,0.58,19,15,0.38,0.33,0.83,13,0.15,10,19,0.71,14257,49134,22740,0.12,0.92,0.17,1,0,1431,Gold,0.58,0.81,0.31,0.12,0.1,0.31,0.48,0.1,0.15,0.17,"Doctor from Bangalore, loves Gaming. Frequent Windows user.",LG,0.09,Best Home Decor products
USR_2007,42,Male,Kolkata,Tier 1,Doctor,Windows,Ultra-High,Married,1,Hindi,227,13,14,65.74,0.34,28,32,0.12,0.18,0.56,11,0.13,17,2,0.05,7811,41171,252811,0.38,0.01,0.24,1,1,3149,Platinum,0.31,0.38,0.4,0.96,0.11,0.68,0.31,0.69,0.22,0.94,"Doctor from Kolkata, loves Books. Frequent Windows user.",Samsung,0.53,Best Books products
USR_2008,57,Male,Mumbai,Tier 1,Doctor,iOS,Low,Single,0,English,340,9,7,167.71,0.58,7,40,0.74,0.01,0.81,7,0.29,2,11,0.13,13388,14719,56610,0.38,0.7,0.01,1,1,3512,Silver,0.31,0.52,0.95,0.79,0.67,0.66,0.04,0.32,0.52,0.86,"Doctor from Mumbai, loves Fitness. Frequent iOS user.",Apple,0.66,Best Gaming products
USR_2009,22,Female,Pune,Tier 2,Student,Android,Medium,Married,1,Regional,239,79,3,95.22,0.64,27,38,0.85,0.92,0.07,15,0.25,6,4,0.96,12868,47319,285210,0.62,0.45,0.26,1,1,561,Silver,0.17,0.54,0.24,0.3,0.15,0.89,0.65,0.61,0.97,0.75,"Student from Pune, loves Home Decor. Frequent Android user.",Samsung,0.24,Best Beauty products
